1,59,131.46
2,27,34.25
2,30,74.65
2,79,153.74
2,126,51.01
2,171,127.91
2,200,89.52
3,69,60.83
3,125,77.04
3,173,9.73
3,192,63.00
4,47,95.99
4,120,202.62
4,132,73.07
4,152,143.29
4,154,119.90
4,163,216.65
5,68,66.28
6,16,123.84
6,58,110.20
6,67,139.09
6,104,69.56
6,146,35.81
7,10,138.44
7,145,67.18
8,25,14.28
8,32,54.98
8,87,168.58
8,148,154.74
9,5,8.09
9,39,104.90
9,78,120.08
9,116,36.76
9,183,59.17
10,108,109.40
10,136,119.43
11,44,73.01
11,65,106.84
11,196,129.13
12,41,68.75
12,94,142.25
12,134,32.37
12,164,124.84
13,9,0.89
13,37,50.58
13,122,199.83
14,2,3.93
14,26,89.35
15,57,32.89
15,95,91.76
15,176,200.53
16,7,103.65
16,106,83.74
16,199,30.59
17,15,173.56
17,109,91.04
17,131,76.28
17,169,80.27
18,99,92.08
18,100,72.44
19,149,52.91
19,158,90.27
19,201,5.79
20,8,98.21
20,71,84.11
20,73,30.15
20,159,67.54
21,33,49.33
21,74,67.60
21,91,78.04
21,96,158.03
21,112,47.47
21,119,155.81
21,135,41.45
21,141,105.91
21,165,120.73
22,35,158.42
22,124,113.35
22,184,16.50
23,45,94.00
23,85,104.94
23,150,61.90
23,175,108.39
23,186,227.47
24,18,54.63
24,61,114.79
24,62,65.72
24,139,78.03
24,181,18.30
25,49,122.14
25,52,88.53
25,55,149.28
25,66,156.34
25,77,128.39
25,81,147.99
25,138,163.10
26,64,122.72
27,177,125.24
27,179,28.84
27,185,57.39
28,84,120.77
28,97,69.13
29,46,130.89
29,75,68.87
29,155,129.41
29,166,48.66
29,193,141.03
30,21,32.96
30,80,62.41
30,88,47.38
30,92,72.19
30,127,71.91
30,170,202.76
31,98,111.02
31,142,47.26
31,156,109.80
31,168,132.95
32,11,84.30
32,50,197.03
32,53,10.59
33,42,59.06
33,89,79.23
33,172,150.12
33,178,128.79
33,190,146.84
34,29,13.40
34,130,84.54
34,151,53.36
35,17,65.77
35,56,102.53
35,83,94.90
35,90,60.29
35,182,52.81
35,195,142.13
36,20,90.80
36,63,124.29
36,70,165.04
36,93,91.30
36,153,115.98
36,162,64.76
36,188,75.40
36,191,102.15
37,110,54.63
37,117,3.32
38,4,88.76
38,43,129.52
38,115,98.44
39,40,94.78
39,51,42.64
39,113,73.86
39,128,62.20
39,174,33.74
40,28,32.47
40,129,14.12
40,140,82.57
40,161,70.21
41,24,43.83
41,36,108.83
41,54,60.72
41,180,15.37
42,14,60.62
42,48,117.98
42,111,148.00
43,31,114.71
43,133,211.22
44,23,79.51
44,60,130.28
44,102,84.95
44,105,43.40
44,137,97.84
44,143,87.18
44,144,89.77
44,157,199.82
45,147,271.11
46,19,91.26
46,72,7.74
46,86,18.58
46,103,168.91
46,118,2.84
46,189,59.89
47,13,2.75
47,101,200.48
47,160,138.20
47,187,56.15
48,121,148.11
49,34,75.97
49,197,94.87
50,6,36.09
50,12,106.67
50,82,69.13
50,198,113.01
